fecha,UI,abierto/cerrado,ao
2018-08-12,144.79025,0.0,0.0
2018-08-13,2791.95,0.0,0.0
2018-08-14,3945.3075,0.0,0.0
2018-08-15,3138.6125,0.0,0.0
2018-08-16,8014.475,0.0,0.0
2018-08-17,7307.4,0.0,0.0
2018-08-18,1520.1275,0.0,0.0
2018-08-19,2281.6,0.0,0.0
2018-08-20,1080.65,0.0,0.0
2018-08-21,47.470622500000005,0.0,0.0
2018-08-22,884.5305,0.0,0.0
2018-08-23,4868.025,0.0,0.0
2018-08-24,4953.45,0.0,0.0
2018-08-25,4836.9,0.0,0.0
2018-08-26,676.535,0.0,0.0
2018-08-27,816.6825,0.0,0.0
2018-08-28,882.615,0.0,0.0
2018-08-29,3830.1375,0.0,0.0
2018-08-30,5626.675,0.0,0.0
2018-08-31,4594.085,0.0,0.0
2018-09-01,137.26125,0.0,0.0
2018-09-02,172.665,0.0,0.0
2018-09-03,1958.5175,0.0,0.0
2018-09-04,1393.9475,0.0,0.0
2018-09-05,5540.075,0.0,0.0
2018-09-06,4718.55,0.0,0.0
2018-09-07,1198.5225,0.0,0.0
2018-09-08,387.7495,0.0,0.0
2018-09-09,3084.2,0.0,0.0
2018-09-10,2294.25,0.0,0.0
2018-09-11,1372.565,0.0,0.0
2018-09-12,2772.1749999999997,0.0,0.0
2018-09-13,3585.225,0.0,0.0
2018-09-14,4560.65,0.0,0.0
2018-09-15,1674.425,0.0,0.0
2018-09-16,199.495,0.0,0.0
2018-09-17,-734.23625,0.0,0.0
2018-09-18,-253.30225000000002,0.0,0.0
2018-09-19,-155.44625,0.0,0.0
2018-09-20,-1638.72,0.0,0.0
2018-09-21,206.465125,0.0,0.0
2018-09-22,375.8995,0.0,0.0
2018-09-23,5550.275,0.0,0.0
2018-09-24,5693.21,0.0,0.0
2018-09-25,205.3935,0.0,0.0
2018-09-26,-277.13550000000004,0.0,0.0
2018-09-27,112.76299999999999,0.0,0.0
2018-09-28,509.76,0.0,0.0
2018-09-29,374.89875,0.0,0.0
2018-09-30,4469.625,0.0,0.0
2018-10-01,3816.875,0.0,0.0
2018-10-02,244.8545,0.0,55.0
2018-10-03,701.1625,0.0,55.0
2018-10-04,18.0807,0.0,55.0
2018-10-05,52.51974999999999,0.0,55.0
2018-10-06,1577.5825,0.0,55.0
2018-10-07,2833.715,0.0,55.0
2018-10-08,243.9049,0.0,55.0
2018-10-09,101.89274999999999,0.0,52.4
2018-10-10,-3583.305,0.0,52.4
2018-10-11,-8297.975,0.0,112.8
2018-10-12,-7306.6,0.0,112.8
2018-10-13,3206.9975,0.0,112.8
2018-10-14,-4734.8949999999995,0.0,112.8
2018-10-15,168.578,0.0,66.1
2018-10-16,333.38075000000003,0.0,66.1
2018-10-17,1384.513,0.0,66.1
2018-10-18,5868.4,0.0,66.1
2018-10-19,5270.65,0.0,70.9
2018-10-20,1472.4,0.0,70.9
2018-10-21,1642.4125,0.0,70.9
2018-10-22,2138.6724999999997,0.0,70.9
2018-10-23,-44.153097499999994,0.0,51.7
2018-10-24,-9.4945,0.0,51.7
2018-10-25,37.696200000000005,0.0,51.7
2018-10-26,4334.3,0.0,51.7
2018-10-27,2563.2,0.0,51.7
2018-10-28,2134.8375,0.0,51.7
2018-10-29,-854.345,0.0,51.7
2018-10-30,-350.6725,0.0,83.3
2018-10-31,-592.24685,0.0,83.3
2018-11-01,-401.022,0.0,83.3
2018-11-02,42.4474,0.0,111.7
2018-11-03,-2487.6642500000003,0.0,111.7
2018-11-04,333.87,0.0,111.7
2018-11-05,-4261.1025,0.0,76.0
2018-11-06,-4572.825,0.0,76.0
2018-11-07,-5335.475,0.0,76.0
2018-11-08,-5462.7225,0.0,76.0
2018-11-09,-5871.325,0.0,76.0
2018-11-10,-3848.72325,0.0,76.0
2018-11-11,-328.6115,0.0,76.0
2018-11-12,36.24442,0.0,76.0
2018-11-13,544.82025,0.0,78.3
2018-11-14,-305.70250000000004,0.0,78.3
2018-11-15,-132.07175,0.0,78.3
2018-11-16,-1793.1935,0.0,72.7
2018-11-17,-960.79125,0.0,72.7
2018-11-18,-38.0895,0.0,72.7
2018-11-19,572.2455,0.0,68.8
2018-11-20,-889.3512499999999,0.0,68.8
2018-11-21,-5260.299999999999,0.0,68.8
2018-11-22,-1536.0525,0.0,68.8
2018-11-23,-2716.95,0.0,68.8
2018-11-24,165.96900000000002,0.0,68.8
2018-11-25,407.1875,0.0,68.8
2018-11-26,-2601.9,0.0,68.8
2018-11-27,-9905.875,0.0,68.8
2018-11-28,-10063.655,0.0,68.8
2018-11-29,-532.4125,0.0,68.8
2018-11-30,-3399.2325,0.0,52.5
2018-12-01,-5423.275,0.0,52.5
2018-12-02,-4161.1,0.0,52.5
2018-12-03,-1639.9524999999999,0.0,64.2
2018-12-04,-3601.4500000000003,0.0,64.2
2018-12-05,-174.75725,0.0,64.2
2018-12-06,-1403.9325000000001,0.0,64.2
2018-12-07,-180.7425,0.0,49.4
2018-12-08,-623.355,0.0,49.4
2018-12-09,864.66275,0.0,49.4
2018-12-10,-539.96085,0.0,0.0
2018-12-11,-127.98750000000001,0.0,0.0
2018-12-12,-3054.83,0.0,0.0
2018-12-13,-403.7675,0.0,0.0
2018-12-14,-7137.775,0.0,0.0
2018-12-15,-825.4138575,0.0,0.0
2018-12-16,-1578.95,0.0,0.0
2018-12-17,-11541.275,0.0,0.0
2018-12-18,-7238.7225,0.0,0.0
2018-12-19,-1598.1,0.0,0.0
2018-12-20,-3163.575,0.0,0.0
2018-12-21,-3920.65,0.0,0.0
2018-12-22,-1356.67,0.0,0.0
2018-12-23,-1743.47,0.0,0.0
2018-12-24,-175.60899999999998,0.0,0.0
2018-12-25,-409.35,0.0,0.0
2018-12-26,-2053.0525,0.0,0.0
2018-12-27,76.437,0.0,0.0
2018-12-28,1148.5375,0.0,0.0
2018-12-29,30.132550000000002,0.0,0.0
2018-12-30,-95.05625,0.0,0.0
2018-12-31,-5.526704999999999,0.0,0.0
2019-01-01,553.5875,0.0,0.0
2019-01-02,201.71725,0.0,0.0
2019-01-03,-182.30175,0.0,0.0
2019-01-04,-90.398825,0.0,0.0
2019-01-05,55.3797625,0.0,0.0
2019-01-06,210.8075,0.0,0.0
2019-01-07,414.4075,0.0,0.0
2019-01-08,1234.0325,0.0,0.0
2019-01-09,2923.725,0.0,0.0
2019-01-10,153.8025,0.0,0.0
2019-01-11,594.86,0.0,0.0
2019-01-12,1161.92,0.0,0.0
2019-01-13,1253.8,0.0,0.0
2019-01-14,463.28049999999996,0.0,0.0
2019-01-15,-353.87425,0.0,0.0
2019-01-16,528.37075,0.0,0.0
2019-01-17,-478.58975,0.0,0.0
2019-01-18,-1287.1775,0.0,0.0
2019-01-19,2199.0299999999997,0.0,0.0
2019-01-20,799.5572,0.0,0.0
2019-01-21,496.3875,0.0,0.0
2019-01-22,2553.4750000000004,0.0,0.0
2019-01-23,2448.7,0.0,0.0
2019-01-24,1143.645,0.0,0.0
2019-01-25,1682.2175,0.0,0.0
2019-01-26,566.2574999999999,0.0,0.0
2019-01-27,647.4300000000001,0.0,0.0
2019-01-28,-169.95974999999999,0.0,0.0
2019-01-29,-1065.4099999999999,0.0,0.0
2019-01-30,-1780.5,0.0,0.0
2019-01-31,-2287.3657000000003,0.0,0.0
2019-02-01,2641.9025,0.0,0.0
2019-02-02,-85.46250000000003,0.0,0.0
2019-02-03,-2453.255,0.0,0.0
2019-02-04,-1383.0425,0.0,0.0
2019-02-05,-1071.9275,0.0,0.0
2019-02-06,-724.70925,0.0,0.0
2019-02-07,-2277.22725,0.0,0.0
2019-02-08,-3707.05,0.0,0.0
2019-02-09,-4301.212500000001,0.0,0.0
2019-02-10,73.05045,0.0,0.0
2019-02-11,552.3737500000001,0.0,0.0
2019-02-12,-339.79312500000003,0.0,0.0
2019-02-13,-873.355,0.0,0.0
2019-02-14,-1999.3125,0.0,0.0
2019-02-15,-188.861,0.0,0.0
2019-02-16,-1937.7725,0.0,0.0
2019-02-17,1223.295,0.0,0.0
2019-02-18,403.04625,0.0,0.0
2019-02-19,-1463.44025,0.0,0.0
2019-02-20,-2399.0125,0.0,0.0
2019-02-21,-2004.8899999999999,0.0,0.0
2019-02-22,-2344.39,0.0,0.0
2019-02-23,-87.05775,0.0,0.0
2019-02-24,-146.3007,0.0,0.0
2019-02-25,-219.523,0.0,0.0
2019-02-26,-2015.003325,0.0,0.0
2019-02-27,-923.0675,0.0,0.0
2019-02-28,-515.3249999999999,0.0,0.0
2019-03-01,-500.33675,0.0,0.0
2019-03-02,-1600.925,0.0,0.0
2019-03-03,-4663.316,0.0,0.0
